Target Distance: 200, Step Size: 20
4180: (x,y)=(-121.409,11.6256)
4181: (x,y)=(-122.527,9.96751)
4182: (x,y)=(-120.889,8.82036)
4183: (x,y)=(-122.671,7.91238)
4184: (x,y)=(-120.715,8.3282)
4185: (x,y)=(-121.464,10.1826)
4186: (x,y)=(-122.668,11.7798)
4187: (x,y)=(-120.745,12.3311)
4188: (x,y)=(-122.342,13.5347)
4189: (x,y)=(-124.02,14.624)
4190: (x,y)=(-125.785,15.563)
4191: (x,y)=(-127.098,17.0724)
4192: (x,y)=(-125.522,15.8411)
4193: (x,y)=(-124.645,14.0435)
4194: (x,y)=(-124.332,16.0189)
4195: (x,y)=(-125.563,14.4428)
4196: (x,y)=(-125.945,16.4061)
4197: (x,y)=(-124.078,17.1228)
4198: (x,y)=(-122.4,18.2121)
4199: (x,y)=(-120.437,18.5937)
4200: (x,y)=(-121.9,19.9577)
4201: (x,y)=(-123.632,20.9577)
4202: (x,y)=(-124.602,22.707)
4203: (x,y)=(-122.943,23.8253)
4204: (x,y)=(-122.494,25.7741)
4205: (x,y)=(-123.832,27.2604)
4206: (x,y)=(-123.692,25.2652)
4207: (x,y)=(-125.668,25.5781)
4208: (x,y)=(-126.786,27.2362)
4209: (x,y)=(-124.959,28.0497)
4210: (x,y)=(-126.077,29.7077)
4211: (x,y)=(-127.843,28.7688)
4212: (x,y)=(-128.087,30.7539)
4213: (x,y)=(-128.469,28.7906)
4214: (x,y)=(-130.183,29.8207)
4215: (x,y)=(-129.974,27.8317)
4216: (x,y)=(-127.985,28.0407)
4217: (x,y)=(-126.172,27.1955)
4218: (x,y)=(-125.423,29.0498)
4219: (x,y)=(-124.219,27.4526)
4220: (x,y)=(-125.249,29.1669)
4221: (x,y)=(-127.249,29.2018)
4222: (x,y)=(-127.9,27.3108)
4223: (x,y)=(-126.669,28.8868)
4224: (x,y)=(-125.792,27.0892)
4225: (x,y)=(-124.823,25.34)
4226: (x,y)=(-123.823,23.6079)
4227: (x,y)=(-121.882,23.1241)
4228: (x,y)=(-123.368,21.7858)
4229: (x,y)=(-125.332,21.4042)
4230: (x,y)=(-123.333,21.3344)
4231: (x,y)=(-121.376,21.7502)
4232: (x,y)=(-121.342,19.7505)
4233: (x,y)=(-123.056,20.7806)
4234: (x,y)=(-124.969,20.1959)
4235: (x,y)=(-126.766,21.0726)
4236: (x,y)=(-128.532,20.1337)
4237: (x,y)=(-127.687,21.9463)
4238: (x,y)=(-125.972,20.9162)
4239: (x,y)=(-126.689,19.049)
4240: (x,y)=(-124.835,18.2998)
4241: (x,y)=(-125.712,20.0974)
4242: (x,y)=(-127.643,20.6151)
4243: (x,y)=(-129.523,19.931)
4244: (x,y)=(-129.488,21.9307)
4245: (x,y)=(-131.39,22.5487)
4246: (x,y)=(-129.641,21.5791)
4247: (x,y)=(-127.684,21.9949)
4248: (x,y)=(-129.45,21.056)
4249: (x,y)=(-129.659,23.045)
4250: (x,y)=(-131.629,22.6977)
4251: (x,y)=(-133.626,22.8024)
4252: (x,y)=(-131.714,22.2177)
4253: (x,y)=(-129.812,21.5996)
4254: (x,y)=(-131.577,20.6607)
4255: (x,y)=(-129.78,21.5374)
4256: (x,y)=(-131.398,22.713)
4257: (x,y)=(-130.982,20.7567)
4258: (x,y)=(-129.723,19.2024)
4259: (x,y)=(-130.275,21.125)
4260: (x,y)=(-131.214,22.8908)
4261: (x,y)=(-131.527,20.9155)
4262: (x,y)=(-129.972,22.1741)
4263: (x,y)=(-131.311,23.6604)
4264: (x,y)=(-132.28,25.4096)
4265: (x,y)=(-130.995,26.9417)
4266: (x,y)=(-132.975,26.6634)
4267: (x,y)=(-133.724,24.809)
4268: (x,y)=(-134.072,22.8394)
4269: (x,y)=(-132.192,22.1554)
4270: (x,y)=(-131.475,24.0225)
4271: (x,y)=(-132.225,25.8769)
4272: (x,y)=(-132.776,23.9544)
4273: (x,y)=(-131.931,22.1417)
4274: (x,y)=(-133.926,22.0022)
4275: (x,y)=(-132.987,20.2363)
4276: (x,y)=(-131.096,20.8875)
4277: (x,y)=(-132.998,21.5055)
4278: (x,y)=(-133.998,23.2376)
4279: (x,y)=(-134.937,25.0035)
4280: (x,y)=(-135.654,23.1363)
4281: (x,y)=(-135.41,25.1214)
4282: (x,y)=(-135.166,27.1065)
4283: (x,y)=(-133.226,26.6226)
4284: (x,y)=(-131.335,27.2738)
4285: (x,y)=(-130.817,29.2056)
4286: (x,y)=(-132.658,29.9871)
4287: (x,y)=(-131.427,28.4111)
4288: (x,y)=(-130.367,30.1072)
4289: (x,y)=(-128.928,28.7178)
4290: (x,y)=(-130.909,28.9962)
4291: (x,y)=(-130.291,27.0941)
4292: (x,y)=(-131.38,25.4167)
4293: (x,y)=(-131.589,23.4277)
4294: (x,y)=(-129.84,22.4581)
4295: (x,y)=(-130.685,24.2707)
4296: (x,y)=(-128.736,23.8208)
4297: (x,y)=(-128.527,21.8317)
4298: (x,y)=(-130.429,22.4498)
4299: (x,y)=(-128.454,22.1369)
4300: (x,y)=(-126.627,22.9504)
4301: (x,y)=(-125.213,24.3646)
4302: (x,y)=(-123.272,24.8484)
4303: (x,y)=(-121.459,24.0032)
4304: (x,y)=(-123.098,22.856)
4305: (x,y)=(-125.095,22.9607)
4306: (x,y)=(-127.027,23.4784)
4307: (x,y)=(-126.343,25.3577)
4308: (x,y)=(-124.647,26.4176)
4309: (x,y)=(-124.925,28.3981)
4310: (x,y)=(-125.51,26.4855)
4311: (x,y)=(-125.823,28.4609)
4312: (x,y)=(-124.165,29.5793)
4313: (x,y)=(-124.304,31.5744)
4314: (x,y)=(-122.841,30.2104)
4315: (x,y)=(-124.721,30.8944)
4316: (x,y)=(-125.405,29.0151)
4317: (x,y)=(-125.544,27.0199)
4318: (x,y)=(-126.421,25.2223)
4319: (x,y)=(-124.472,24.7724)
4320: (x,y)=(-126.404,25.2901)
4321: (x,y)=(-126.299,23.2928)
4322: (x,y)=(-128.263,23.6744)
4323: (x,y)=(-127.031,22.0984)
4324: (x,y)=(-125.746,23.6305)
4325: (x,y)=(-127.209,22.2665)
4326: (x,y)=(-125.268,21.7827)
4327: (x,y)=(-123.441,20.9692)
4328: (x,y)=(-124.753,22.4786)
4329: (x,y)=(-122.804,22.0287)
4330: (x,y)=(-121.492,23.5381)
4331: (x,y)=(-122.978,22.1999)
4332: (x,y)=(-124.819,22.9813)
4333: (x,y)=(-123.85,24.7306)
4334: (x,y)=(-122.411,23.3413)
4335: (x,y)=(-120.879,22.0557)
4336: (x,y)=(-122.611,23.0557)
4337: (x,y)=(-123.262,21.1646)
4338: (x,y)=(-121.644,19.9891)
4339: (x,y)=(-122.521,18.1915)
4340: (x,y)=(-120.807,19.2216)
4341: (x,y)=(-122.805,19.2914)
4342: (x,y)=(-121.929,21.0889)
4343: (x,y)=(-122.513,23.0016)
4344: (x,y)=(-124.326,23.8468)
4345: (x,y)=(-124.082,25.8319)
4346: (x,y)=(-126.067,25.5881)
4347: (x,y)=(-127.849,26.4961)
4348: (x,y)=(-129.053,28.0934)
4349: (x,y)=(-127.174,27.4094)
4350: (x,y)=(-126.204,25.6601)
4351: (x,y)=(-127.986,24.7521)
4352: (x,y)=(-129.983,24.8568)
4353: (x,y)=(-131.732,23.8872)
4354: (x,y)=(-131.523,25.8762)
4355: (x,y)=(-129.947,27.1076)
4356: (x,y)=(-130.226,25.127)
4357: (x,y)=(-131.538,26.6364)
4358: (x,y)=(-129.658,25.9524)
4359: (x,y)=(-127.767,25.3013)
4360: (x,y)=(-126.035,26.3013)
4361: (x,y)=(-124.917,24.6432)
4362: (x,y)=(-122.936,24.3648)
4363: (x,y)=(-121.705,25.9409)
4364: (x,y)=(-120.108,24.7372)
4365: (x,y)=(-121.905,25.614)
4366: (x,y)=(-122.355,27.5627)
4367: (x,y)=(-122.042,29.5381)
4368: (x,y)=(-121.868,27.5457)
4369: (x,y)=(-122.745,29.3433)
4370: (x,y)=(-120.753,29.5176)
4371: (x,y)=(-122.728,29.8305)
4372: (x,y)=(-121.218,31.1426)
4373: (x,y)=(-122.582,29.6799)
4374: (x,y)=(-120.715,28.9631)
4375: (x,y)=(-122.656,29.447)
4376: (x,y)=(-121.626,31.1613)
4377: (x,y)=(-123.595,31.5086)
4378: (x,y)=(-122.133,30.1446)
4379: (x,y)=(-124.096,29.763)
4380: (x,y)=(-123.511,27.8504)
4381: (x,y)=(-122.893,29.7525)
4382: (x,y)=(-124.893,29.7525)
4383: (x,y)=(-126.332,28.3632)
4384: (x,y)=(-127.302,30.1124)
4385: (x,y)=(-125.839,28.7484)
4386: (x,y)=(-126.152,26.7731)
4387: (x,y)=(-127.516,28.2358)
4388: (x,y)=(-128.954,26.8464)
4389: (x,y)=(-126.991,27.2281)
4390: (x,y)=(-128.405,25.8139)
4391: (x,y)=(-127.787,23.9117)
4392: (x,y)=(-129.772,24.1555)
4393: (x,y)=(-127.783,23.9464)
4394: (x,y)=(-125.785,23.8766)
4395: (x,y)=(-126.844,25.5727)
4396: (x,y)=(-125.003,24.7913)
4397: (x,y)=(-125.687,26.6706)
4398: (x,y)=(-123.775,26.0859)
4399: (x,y)=(-124.683,24.3039)
4400: (x,y)=(-123.479,25.9012)
4401: (x,y)=(-124.568,24.2238)
4402: (x,y)=(-126.334,23.2849)
4403: (x,y)=(-124.339,23.4244)
4404: (x,y)=(-125.825,22.0861)
4405: (x,y)=(-124.387,23.4754)
4406: (x,y)=(-125.005,25.3776)
4407: (x,y)=(-126.559,24.1189)
4408: (x,y)=(-128.113,22.8603)
4409: (x,y)=(-127.205,21.0783)
4410: (x,y)=(-127.205,23.0783)
4411: (x,y)=(-128.437,21.5022)
4412: (x,y)=(-127.72,23.3694)
4413: (x,y)=(-126.66,21.6733)
4414: (x,y)=(-128.375,22.7034)
4415: (x,y)=(-129.22,20.8908)
4416: (x,y)=(-127.908,19.3813)
4417: (x,y)=(-127.424,17.4407)
4418: (x,y)=(-129.424,17.4407)
4419: (x,y)=(-130.108,15.5614)
4420: (x,y)=(-131.999,16.2125)
4421: (x,y)=(-133.962,15.8309)
4422: (x,y)=(-132.598,14.3682)
4423: (x,y)=(-133.774,12.7501)
4424: (x,y)=(-132.897,10.9526)
4425: (x,y)=(-134.788,11.6037)
4426: (x,y)=(-134.823,9.60399)
4427: (x,y)=(-134.205,11.5061)
4428: (x,y)=(-135.436,13.0821)
4429: (x,y)=(-133.927,14.3942)
4430: (x,y)=(-135.265,12.908)
4431: (x,y)=(-135.543,10.9274)
4432: (x,y)=(-134.312,9.3514)
4433: (x,y)=(-136.225,8.76666)
4434: (x,y)=(-134.334,8.11552)
4435: (x,y)=(-132.334,8.11552)
4436: (x,y)=(-133.242,9.89753)
4437: (x,y)=(-134.956,10.9276)
4438: (x,y)=(-135.541,9.015)
4439: (x,y)=(-135.332,11.004)
4440: (x,y)=(-133.6,10.004)
4441: (x,y)=(-135.332,9.00404)
4442: (x,y)=(-137.312,8.7257)
4443: (x,y)=(-136.312,6.99365)
4444: (x,y)=(-134.312,6.95874)
4445: (x,y)=(-133.404,8.74075)
4446: (x,y)=(-134.636,10.3168)
4447: (x,y)=(-133.104,11.6024)
4448: (x,y)=(-131.957,9.96405)
4449: (x,y)=(-131.644,7.98867)
4450: (x,y)=(-131.539,5.99141)
4451: (x,y)=(-132.686,7.62972)
4452: (x,y)=(-131.568,9.28779)
4453: (x,y)=(-130.723,7.47517)
4454: (x,y)=(-132.232,6.16306)
4455: (x,y)=(-134.045,7.00829)
4456: (x,y)=(-132.869,8.62633)
4457: (x,y)=(-132.904,6.62663)
4458: (x,y)=(-134.826,7.17791)
4459: (x,y)=(-133.34,5.83965)
4460: (x,y)=(-134.057,7.70681)
4461: (x,y)=(-132.771,9.2389)
4462: (x,y)=(-131.596,10.8569)
4463: (x,y)=(-133.172,9.62561)
4464: (x,y)=(-131.259,10.2103)
4465: (x,y)=(-130.775,12.1509)
4466: (x,y)=(-129.009,13.0899)
4467: (x,y)=(-129.391,15.0531)
4468: (x,y)=(-130.988,16.2568)
4469: (x,y)=(-129.013,15.9439)
4470: (x,y)=(-130.522,14.6318)
4471: (x,y)=(-132.161,13.4846)
4472: (x,y)=(-130.334,14.2981)
4473: (x,y)=(-132.314,14.5764)
4474: (x,y)=(-131.254,16.2725)
4475: (x,y)=(-133.095,17.054)
4476: (x,y)=(-131.103,17.2283)
4477: (x,y)=(-133.092,17.0193)
4478: (x,y)=(-133.162,19.018)
4479: (x,y)=(-131.249,18.4333)
4480: (x,y)=(-130.018,16.8573)
4481: (x,y)=(-128.759,15.303)
4482: (x,y)=(-128.275,17.2436)
4483: (x,y)=(-127.215,15.5475)
4484: (x,y)=(-125.217,15.4777)
4485: (x,y)=(-124.733,13.5371)
4486: (x,y)=(-122.984,12.5675)
4487: (x,y)=(-123.668,10.6881)
4488: (x,y)=(-125.265,11.8917)
4489: (x,y)=(-123.953,10.3823)
4490: (x,y)=(-122.749,8.78503)
4491: (x,y)=(-121.78,7.03579)
4492: (x,y)=(-121.954,9.02818)
4493: (x,y)=(-122.923,7.27894)
4494: (x,y)=(-124.913,7.48799)
4495: (x,y)=(-124.005,9.27001)
4496: (x,y)=(-123.795,7.28096)
4497: (x,y)=(-125.454,8.39935)
4498: (x,y)=(-127.453,8.36444)
4499: (x,y)=(-125.505,7.91454)
4500: (x,y)=(-125.539,9.91424)
4501: (x,y)=(-124.201,11.4005)
4502: (x,y)=(-125.32,9.74245)
4503: (x,y)=(-126.165,7.92984)
4504: (x,y)=(-124.352,7.0846)
4505: (x,y)=(-124.005,5.11498)
4506: (x,y)=(-123.796,7.10403)
4507: (x,y)=(-121.855,6.62018)
4508: (x,y)=(-123.735,7.30422)
4509: (x,y)=(-122.18,8.56287)
4510: (x,y)=(-120.503,9.65214)
4511: (x,y)=(-118.511,9.47783)
4512: (x,y)=(-118.994,11.4184)
4513: (x,y)=(-120.964,11.0711)
4514: (x,y)=(-120.514,13.0199)
4515: (x,y)=(-119.256,11.4656)
4516: (x,y)=(-120.832,10.2343)
4517: (x,y)=(-121.483,12.1253)
4518: (x,y)=(-119.865,10.9497)
4519: (x,y)=(-118.957,9.16771)
4520: (x,y)=(-120.075,10.8258)
4521: (x,y)=(-120.491,12.7821)
4522: (x,y)=(-121.551,14.4782)
4523: (x,y)=(-122.267,12.611)
4524: (x,y)=(-120.713,13.8697)
4525: (x,y)=(-118.916,12.9929)
4526: (x,y)=(-120.091,11.3749)
4527: (x,y)=(-118.473,12.5504)
4528: (x,y)=(-117.724,10.6961)
4529: (x,y)=(-118.724,12.4281)
4530: (x,y)=(-120.362,13.5753)
4531: (x,y)=(-121.7,15.0616)
4532: (x,y)=(-122.384,13.1822)
4533: (x,y)=(-122.969,15.0948)
4534: (x,y)=(-124.939,15.4421)
4535: (x,y)=(-123.763,17.0601)
4536: (x,y)=(-122.794,18.8094)
4537: (x,y)=(-121.355,20.1987)
4538: (x,y)=(-123.257,20.8167)
4539: (x,y)=(-122.444,22.6438)
4540: (x,y)=(-122.096,20.6742)
4541: (x,y)=(-121.188,22.4562)
4542: (x,y)=(-119.376,21.611)
4543: (x,y)=(-119.994,19.7089)
4544: (x,y)=(-121.934,20.1927)
4545: (x,y)=(-122.618,18.3133)
4546: (x,y)=(-122.653,16.3136)
4547: (x,y)=(-123.683,18.028)
4548: (x,y)=(-121.686,17.9233)
4549: (x,y)=(-121.408,19.9038)
4550: (x,y)=(-120.5,18.1218)
4551: (x,y)=(-119.44,16.4257)
4552: (x,y)=(-121.117,15.3364)
4553: (x,y)=(-119.368,14.3668)
4554: (x,y)=(-117.814,13.1082)
4555: (x,y)=(-118.498,14.9876)
4556: (x,y)=(-116.517,14.7092)
4557: (x,y)=(-115.232,16.2413)
4558: (x,y)=(-115.057,14.2489)
4559: (x,y)=(-115.197,12.2538)
4560: (x,y)=(-113.343,11.5046)
4561: (x,y)=(-114.655,9.99515)
4562: (x,y)=(-116.644,10.2042)
4563: (x,y)=(-114.655,10.4133)
4564: (x,y)=(-113.24,8.99905)
4565: (x,y)=(-113.275,6.99935)
4566: (x,y)=(-111.766,5.68724)
4567: (x,y)=(-113.668,6.30527)
4568: (x,y)=(-114.728,8.00137)
4569: (x,y)=(-115.379,6.11033)
4570: (x,y)=(-113.384,6.24984)
4571: (x,y)=(-111.395,6.4589)
4572: (x,y)=(-109.777,5.28333)
4573: (x,y)=(-108.222,4.02469)
4574: (x,y)=(-106.253,3.67739)
4575: (x,y)=(-107.283,5.39173)
4576: (x,y)=(-109.224,5.87557)
4577: (x,y)=(-109.084,3.88044)
4578: (x,y)=(-109.635,5.80296)
4579: (x,y)=(-111.331,6.8628)
4580: (x,y)=(-113.081,7.83242)
4581: (x,y)=(-114.199,9.4905)
4582: (x,y)=(-112.199,9.4905)
4583: (x,y)=(-114.198,9.5603)
4584: (x,y)=(-116.065,8.84356)
4585: (x,y)=(-115.095,10.5928)
4586: (x,y)=(-113.115,10.8711)
4587: (x,y)=(-113.219,8.87389)
4588: (x,y)=(-114.878,9.99227)
4589: (x,y)=(-116.858,10.2706)
4590: (x,y)=(-115.2,11.389)
4591: (x,y)=(-113.888,12.8984)
4592: (x,y)=(-115.374,11.5602)
4593: (x,y)=(-117.367,11.3859)
4594: (x,y)=(-115.617,12.3555)
4595: (x,y)=(-116.525,10.5735)
4596: (x,y)=(-116.7,12.5658)
4597: (x,y)=(-116.352,10.5962)
4598: (x,y)=(-116.178,8.60384)
4599: (x,y)=(-116.927,6.74947)
4600: (x,y)=(-116.614,4.7741)
4601: (x,y)=(-115.329,6.30619)
4602: (x,y)=(-114.359,4.55695)
4603: (x,y)=(-115.173,2.72986)
4604: (x,y)=(-113.282,2.07872)
4605: (x,y)=(-114.996,3.1088)
4606: (x,y)=(-116.985,3.31785)
4607: (x,y)=(-116.501,1.37726)
4608: (x,y)=(-116.396,3.37452)
4609: (x,y)=(-117.906,2.0624)
4610: (x,y)=(-115.909,1.95773)
4611: (x,y)=(-117.831,2.50901)
4612: (x,y)=(-119.722,1.85787)
4613: (x,y)=(-121.52,2.73461)
4614: (x,y)=(-120.316,1.13734)
4615: (x,y)=(-120.967,3.02838)
4616: (x,y)=(-122.717,2.05876)
4617: (x,y)=(-121.099,0.883187)
4618: (x,y)=(-119.271,0.0697141)
4619: (x,y)=(-120.021,1.92408)
4620: (x,y)=(-120.639,3.82619)
4621: (x,y)=(-118.759,4.51024)
4622: (x,y)=(-116.868,3.8591)
4623: (x,y)=(-115.359,5.17122)
4624: (x,y)=(-115.775,7.12751)
4625: (x,y)=(-117.774,7.09261)
4626: (x,y)=(-116.627,8.73091)
4627: (x,y)=(-117.409,10.5719)
4628: (x,y)=(-117.722,8.59654)
4629: (x,y)=(-118.629,6.81453)
4630: (x,y)=(-116.689,7.29838)
4631: (x,y)=(-117.373,5.41899)
4632: (x,y)=(-117.72,3.44937)
4633: (x,y)=(-119.561,2.66791)
4634: (x,y)=(-120.469,4.44993)
4635: (x,y)=(-122.201,3.44993)
4636: (x,y)=(-124.19,3.24087)
4637: (x,y)=(-122.593,2.03724)
4638: (x,y)=(-121.748,0.224623)
4639: (x,y)=(-122.129,-1.73863)
4640: (x,y)=(-123.519,-3.17731)
4641: (x,y)=(-125.073,-4.43595)
4642: (x,y)=(-126.711,-5.5831)
4643: (x,y)=(-124.914,-4.70636)
4644: (x,y)=(-126.646,-3.70636)
4645: (x,y)=(-126.716,-1.70758)
4646: (x,y)=(-125.02,-2.76742)
4647: (x,y)=(-126.968,-2.31752)
4648: (x,y)=(-126.484,-4.25811)
4649: (x,y)=(-128.364,-3.57407)
4650: (x,y)=(-129.333,-1.82483)
4651: (x,y)=(-131.333,-1.82483)
4652: (x,y)=(-130.52,-3.65192)
4653: (x,y)=(-128.523,-3.54725)
4654: (x,y)=(-128.801,-5.52778)
4655: (x,y)=(-127.741,-3.83169)
4656: (x,y)=(-126.327,-2.41747)
4657: (x,y)=(-126.536,-4.40652)
4658: (x,y)=(-125.755,-2.56551)
4659: (x,y)=(-124.416,-1.07922)
4660: (x,y)=(-125.992,0.152104)
4661: (x,y)=(-127.022,-1.56223)
4662: (x,y)=(-126.146,-3.35982)
4663: (x,y)=(-124.205,-2.87597)
4664: (x,y)=(-123.858,-0.906359)
4665: (x,y)=(-125.857,-0.941264)
4666: (x,y)=(-127.789,-1.4589)
4667: (x,y)=(-128.819,0.255432)
4668: (x,y)=(-130.742,0.806707)
4669: (x,y)=(-132.438,1.86655)
4670: (x,y)=(-134.401,2.24816)
4671: (x,y)=(-136.394,2.42247)
4672: (x,y)=(-136.533,4.4176)
4673: (x,y)=(-138.509,4.10473)
4674: (x,y)=(-140.106,5.30836)
4675: (x,y)=(-138.113,5.48268)
4676: (x,y)=(-139.426,6.99209)
4677: (x,y)=(-141.425,7.027)
4678: (x,y)=(-141.321,5.02974)
4679: (x,y)=(-139.643,3.94046)
4680: (x,y)=(-138.385,5.49475)
4681: (x,y)=(-139.961,4.26343)
4682: (x,y)=(-141.758,3.38669)
4683: (x,y)=(-139.946,4.23193)
4684: (x,y)=(-141.813,3.51519)
4685: (x,y)=(-143.431,4.69076)
4686: (x,y)=(-141.551,4.00672)
4687: (x,y)=(-143.551,4.04162)
4688: (x,y)=(-143.238,6.017)
4689: (x,y)=(-143.378,4.02187)
4690: (x,y)=(-143.862,5.96246)
4691: (x,y)=(-145.802,5.47862)
4692: (x,y)=(-144.863,3.71273)
4693: (x,y)=(-143.131,2.71273)
4694: (x,y)=(-143.096,4.71242)
4695: (x,y)=(-141.104,4.88673)
4696: (x,y)=(-140.62,6.82732)
4697: (x,y)=(-138.64,7.10567)
4698: (x,y)=(-137.063,8.33699)
4699: (x,y)=(-136.854,6.34795)
4700: (x,y)=(-134.857,6.45262)
4701: (x,y)=(-132.872,6.69636)
4702: (x,y)=(-130.916,6.28054)
4703: (x,y)=(-130.298,8.18265)
4704: (x,y)=(-131.636,6.69636)
4705: (x,y)=(-132.575,4.93046)
4706: (x,y)=(-133.193,6.83258)
4707: (x,y)=(-134.397,8.42985)
4708: (x,y)=(-132.465,8.94749)
4709: (x,y)=(-131.179,7.4154)
4710: (x,y)=(-129.765,8.82961)
4711: (x,y)=(-129.66,10.8269)
4712: (x,y)=(-131.659,10.7571)
4713: (x,y)=(-132.629,9.00783)
4714: (x,y)=(-134.287,7.88945)
4715: (x,y)=(-132.324,7.50783)
4716: (x,y)=(-133.878,8.76647)
4717: (x,y)=(-134.723,10.5791)
4718: (x,y)=(-134.039,12.4585)
4719: (x,y)=(-132.307,13.4585)
4720: (x,y)=(-134.307,13.4934)
4721: (x,y)=(-136.287,13.215)
4722: (x,y)=(-135.669,15.1171)
4723: (x,y)=(-134.7,16.8664)
4724: (x,y)=(-133.581,15.2083)
4725: (x,y)=(-135.067,13.87)
4726: (x,y)=(-136.935,13.1533)
4727: (x,y)=(-138.421,11.815)
4728: (x,y)=(-140.018,13.0187)
4729: (x,y)=(-141.528,11.7066)
4730: (x,y)=(-141.875,13.6762)
4731: (x,y)=(-139.919,13.2604)
4732: (x,y)=(-139.919,11.2604)
4733: (x,y)=(-139.435,9.31976)
4734: (x,y)=(-137.454,9.04141)
4735: (x,y)=(-138.74,7.50933)
4736: (x,y)=(-136.849,8.16046)
4737: (x,y)=(-136.709,6.16533)
4738: (x,y)=(-135.591,4.50726)
4739: (x,y)=(-136.007,6.46355)
4740: (x,y)=(-137.999,6.28924)
4741: (x,y)=(-136.002,6.18457)
4742: (x,y)=(-135.552,4.23583)
4743: (x,y)=(-134.522,2.5215)
4744: (x,y)=(-136.522,2.5215)
4745: (x,y)=(-137.886,3.9842)
4746: (x,y)=(-136.104,3.07622)
4747: (x,y)=(-137.134,4.79056)
4748: (x,y)=(-138.866,3.79056)
4749: (x,y)=(-138.901,1.79086)
4750: (x,y)=(-138.217,3.67025)
4751: (x,y)=(-139.966,2.70063)
4752: (x,y)=(-140.905,0.934732)
4753: (x,y)=(-142.718,0.0894955)
4754: (x,y)=(-141.904,1.91659)
4755: (x,y)=(-140.7,0.319315)
4756: (x,y)=(-141.67,-1.42992)
4757: (x,y)=(-140.073,-2.63355)
4758: (x,y)=(-138.377,-1.57372)
4759: (x,y)=(-140.218,-2.35518)
4760: (x,y)=(-141.876,-1.23679)
4761: (x,y)=(-142.189,0.738585)
4762: (x,y)=(-141.099,-0.938756)
4763: (x,y)=(-140.448,0.952281)
4764: (x,y)=(-142.126,-0.136997)
4765: (x,y)=(-143.002,-1.93459)
4766: (x,y)=(-142.587,0.0217097)
4767: (x,y)=(-143.818,1.59773)
4768: (x,y)=(-144.165,-0.371884)
4769: (x,y)=(-142.298,0.344852)
4770: (x,y)=(-140.5,1.22159)
4771: (x,y)=(-141.118,3.12371)
4772: (x,y)=(-140.059,4.8198)
4773: (x,y)=(-142.007,4.3699)
4774: (x,y)=(-143.319,2.86048)
4775: (x,y)=(-142.635,0.981097)
4776: (x,y)=(-143.725,-0.696245)
4777: (x,y)=(-142.047,-1.78552)
4778: (x,y)=(-142.893,-3.59814)
4779: (x,y)=(-144.57,-4.68742)
4780: (x,y)=(-145.121,-6.60994)
4781: (x,y)=(-145.998,-8.40753)
4782: (x,y)=(-146.38,-10.3708)
4783: (x,y)=(-147.934,-9.11214)
4784: (x,y)=(-149.531,-7.90851)
4785: (x,y)=(-148.75,-9.74952)
4786: (x,y)=(-147.78,-8.00028)
4787: (x,y)=(-148.719,-9.76618)
4788: (x,y)=(-147.488,-11.3422)
4789: (x,y)=(-146.149,-12.8285)
4790: (x,y)=(-147.119,-11.0792)
4791: (x,y)=(-147.67,-9.15673)
4792: (x,y)=(-149.009,-10.643)
4793: (x,y)=(-150.806,-9.76627)
4794: (x,y)=(-150.911,-7.76901)
4795: (x,y)=(-149.129,-8.67699)
4796: (x,y)=(-148.445,-10.5564)
4797: (x,y)=(-148.996,-12.4789)
4798: (x,y)=(-150.919,-13.0302)
4799: (x,y)=(-152.81,-13.6813)
4800: (x,y)=(-154.068,-15.2356)
4801: (x,y)=(-153.584,-13.295)
4802: (x,y)=(-154,-15.2513)
4803: (x,y)=(-152.068,-14.7337)
4804: (x,y)=(-153.007,-16.4996)
4805: (x,y)=(-151.032,-16.1867)
4806: (x,y)=(-151.971,-17.9526)
4807: (x,y)=(-150.333,-19.0997)
4808: (x,y)=(-151.645,-17.5903)
4809: (x,y)=(-149.743,-18.2084)
4810: (x,y)=(-151.57,-19.0218)
4811: (x,y)=(-152.351,-17.1808)
4812: (x,y)=(-152.969,-19.0829)
4813: (x,y)=(-151.187,-18.175)
4814: (x,y)=(-152.499,-19.6844)
4815: (x,y)=(-154.366,-20.4011)
4816: (x,y)=(-152.554,-19.5559)
4817: (x,y)=(-152.867,-21.5313)
4818: (x,y)=(-154.421,-22.7899)
4819: (x,y)=(-152.824,-23.9935)
4820: (x,y)=(-153.375,-22.071)
4821: (x,y)=(-155.052,-23.1603)
4822: (x,y)=(-155.122,-25.1591)
4823: (x,y)=(-153.166,-25.5749)
4824: (x,y)=(-154.898,-24.5749)
4825: (x,y)=(-152.905,-24.7492)
4826: (x,y)=(-154.901,-24.8887)
4827: (x,y)=(-153.205,-25.9485)
4828: (x,y)=(-151.264,-26.4324)
4829: (x,y)=(-150.814,-28.3811)
4830: (x,y)=(-149.4,-29.7953)
4831: (x,y)=(-149.191,-27.8063)
4832: (x,y)=(-149.572,-29.7696)
4833: (x,y)=(-151.17,-28.5659)
4834: (x,y)=(-149.329,-27.7845)
4835: (x,y)=(-151.196,-27.0677)
4836: (x,y)=(-150.077,-25.4096)
4837: (x,y)=(-148.21,-24.6929)
4838: (x,y)=(-146.27,-25.1768)
4839: (x,y)=(-147.27,-26.9088)
4840: (x,y)=(-146.82,-28.8575)
4841: (x,y)=(-147.759,-30.6234)
